,id_season,tm,opp,game_nb,before_average_W_ratio,before_average_W_ratio_opp,extdom_ext,rest,before_average_pts_tm,before_average_pts_opp,before_average_pts_tm_opp,before_average_pts_opp_opp,id,results
91,2010,BOS,SAC,51,0.64,0.3461538461538461,1,6,98.7,93.7,102.0,105.8,2010-02-16_BOS_SAC,1
92,2010,BOS,LAL,52,0.6470588235294118,0.7636363636363637,1,2,98.7,93.7,103.2,96.4,2010-02-18_BOS_LAL,1
93,2010,BOS,POR,53,0.6538461538461539,0.5714285714285714,1,1,98.4,93.5,97.7,95.1,2010-02-19_BOS_POR,1
94,2010,BOS,DEN,54,0.660377358490566,0.6545454545454545,1,2,98.4,93.2,107.3,102.5,2010-02-21_BOS_DEN,0
95,2010,BOS,NYK,55,0.6481481481481481,0.3454545454545454,0,2,98.5,93.6,100.9,104.1,2010-02-23_NYK_BOS,1
96,2010,BOS,DET,58,0.631578947368421,0.3559322033898305,1,3,98.5,94.2,92.4,96.8,2010-03-02_BOS_DET,1
97,2010,BOS,CHA,59,0.6379310344827587,0.4827586206896552,0,1,98.6,94.3,94.9,94.3,2010-03-03_CHA_BOS,1
98,2010,BOS,MIL,62,0.6557377049180327,0.532258064516129,1,2,98.4,93.8,98.1,96.5,2010-03-09_BOS_MIL,0
99,2010,BOS,MEM,63,0.6451612903225806,0.515625,0,1,98.2,93.7,102.0,102.8,2010-03-10_MEM_BOS,0
100,2010,BOS,IND,64,0.6349206349206349,0.328125,0,2,98.1,93.9,99.6,104.5,2010-03-12_IND_BOS,1
101,2010,BOS,NYK,67,0.6363636363636364,0.3582089552238806,0,2,98.7,94.2,101.7,104.5,2010-03-17_NYK_BOS,1
102,2010,BOS,DAL,69,0.6470588235294118,0.6764705882352942,1,1,98.8,94.1,101.8,99.6,2010-03-20_BOS_DAL,1
103,2010,BOS,UTA,70,0.6521739130434783,0.6428571428571429,1,2,98.8,94.1,103.6,98.0,2010-03-22_BOS_UTA,0
104,2010,BOS,DEN,71,0.6428571428571429,0.6619718309859155,0,2,98.8,94.4,107.5,102.4,2010-03-24_DEN_BOS,1
105,2010,BOS,SAS,73,0.6527777777777778,0.6056338028169014,0,2,98.9,94.3,101.2,96.5,2010-03-28_SAS_BOS,0
106,2010,BOS,OKC,74,0.6438356164383562,0.6164383561643836,0,3,98.6,94.3,100.3,96.6,2010-03-31_OKC_BOS,0
